label,x,y,z
304,7.4950495,0.07,0.09
305,7.4451485,0.07,0.09
306,7.3952475,0.07,0.09
307,7.3453465,0.07,0.09
308,7.2954454,0.07,0.09
309,7.2455444,0.07,0.09
310,7.1956434,0.07,0.09
311,7.1457424,0.07,0.09
312,7.0958414,0.07,0.09
313,7.0459404,0.07,0.09
314,6.9960394,0.07,0.09
315,6.9461384,0.07,0.09
316,6.8962379,0.07,0.09
317,6.8463368,0.07,0.09
318,6.7964358,0.07,0.09
319,6.7465348,0.07,0.09
320,6.6966338,0.07,0.09
321,6.6467328,0.07,0.09
322,6.5968318,0.07,0.09
323,6.5469308,0.07,0.09
324,6.4970298,0.07,0.09
325,6.4471288,0.07,0.09
326,6.3972278,0.07,0.09
327,6.3473268,0.07,0.09
328,6.2974257,0.07,0.09
329,6.2475247,0.07,0.09
330,6.1976237,0.07,0.09
331,6.1477227,0.07,0.09
332,6.0978217,0.07,0.09
333,6.0479207,0.07,0.09
334,5.9980197,0.07,0.09
335,5.9481187,0.07,0.09
336,5.8982177,0.07,0.09
337,5.8483167,0.07,0.09
338,5.7984157,0.07,0.09
339,5.7485147,0.07,0.09
340,5.6986136,0.07,0.09
341,5.6487126,0.07,0.09
342,5.5988121,0.07,0.09
343,5.5489111,0.07,0.09
344,5.4990101,0.07,0.09
345,5.4491091,0.07,0.09
346,5.3992081,0.07,0.09
347,5.3493071,0.07,0.09
348,5.2994061,0.07,0.09
349,5.249505,0.07,0.09
350,5.199604,0.07,0.09
351,5.149703,0.07,0.09
352,5.099802,0.07,0.09
353,5.049901,0.07,0.09
354,5.0,0.07,0.09
355,4.950099,0.07,0.09
356,4.900198,0.07,0.09
357,4.850297,0.07,0.09
358,4.800396,0.07,0.09
359,4.750495,0.07,0.09
360,4.7005939,0.07,0.09
361,4.6506929,0.07,0.09
362,4.6007919,0.07,0.09
363,4.5508909,0.07,0.09
364,4.5009899,0.07,0.09
365,4.4510889,0.07,0.09
366,4.4011879,0.07,0.09
367,4.3512874,0.07,0.09
368,4.3013864,0.07,0.09
369,4.2514853,0.07,0.09
370,4.2015843,0.07,0.09
371,4.1516833,0.07,0.09
372,4.1017823,0.07,0.09
373,4.0518813,0.07,0.09
374,4.0019803,0.07,0.09
375,3.9520793,0.07,0.09
376,3.9021783,0.07,0.09
377,3.8522773,0.07,0.09
378,3.8023763,0.07,0.09
379,3.7524753,0.07,0.09
380,3.7025743,0.07,0.09
381,3.6526732,0.07,0.09
382,3.6027722,0.07,0.09
383,3.5528712,0.07,0.09
384,3.5029702,0.07,0.09
385,3.4530692,0.07,0.09
386,3.4031682,0.07,0.09
387,3.3532674,0.07,0.09
388,3.3033664,0.07,0.09
389,3.2534654,0.07,0.09
390,3.2035644,0.07,0.09
391,3.1536634,0.07,0.09
392,3.1037624,0.07,0.09
393,3.0538614,0.07,0.09
394,3.0039604,0.07,0.09
395,2.9540594,0.07,0.09
396,2.9041584,0.07,0.09
397,2.8542573,0.07,0.09
398,2.8043563,0.07,0.09
399,2.7544553,0.07,0.09
400,2.7045546,0.07,0.09
401,2.6546535,0.07,0.09
402,2.6047525,0.07,0.09
403,2.5548515,0.07,0.09
404,2.5049505,0.07,0.09
405,2.4550495,0.07,0.09
406,2.4051485,0.07,0.09
407,2.3552475,0.07,0.09
408,2.3053465,0.07,0.09
409,2.2554455,0.07,0.09
410,2.2055445,0.07,0.09
411,2.1556435,0.07,0.09
412,2.1057427,0.07,0.09
413,2.0558417,0.07,0.09
414,2.0059407,0.07,0.09
415,1.9560395,0.07,0.09
416,1.9061387,0.07,0.09
417,1.8562376,0.07,0.09
418,1.8063366,0.07,0.09
419,1.7564356,0.07,0.09
420,1.7065346,0.07,0.09
421,1.6566336,0.07,0.09
422,1.6067327,0.07,0.09
423,1.5568317,0.07,0.09
424,1.5069307,0.07,0.09
425,1.4570297,0.07,0.09
426,1.4071287,0.07,0.09
427,1.3572277,0.07,0.09
428,1.3073267,0.07,0.09
429,1.2574258,0.07,0.09
430,1.2075248,0.07,0.09
431,1.1576238,0.07,0.09
432,1.1077228,0.07,0.09
433,1.0578218,0.07,0.09
434,1.0079207,0.07,0.09
435,0.9580198,0.07,0.09
436,0.9081188,0.07,0.09
437,0.8582178,0.07,0.09
438,0.8083168,0.07,0.09
439,0.7584158,0.07,0.09
440,0.7085149,0.07,0.09
441,0.6586139,0.07,0.09
442,0.6087129,0.07,0.09
443,0.5588119,0.07,0.09
444,0.5089109,0.07,0.09
445,0.4590099,0.07,0.09
446,0.4091089,0.07,0.09
447,0.3592079,0.07,0.09
448,0.3093069,0.07,0.09
449,0.2594059,0.07,0.09
450,0.2095049,0.07,0.09
451,0.159604,0.07,0.09
452,0.109703,0.07,0.09
453,0.059802,0.07,0.09
454,0.009901,0.07,0.09
455,-0.04,0.07,0.06
456,-0.04,0.07,0.03
457,10.04,0.0233333,0.0
458,10.04,0.0466667,0.0
459,10.04,0.0466667,0.09
460,10.04,0.0233333,0.09
461,-0.04,0.0233333,0.09
462,-0.04,0.0466667,0.09
463,-0.04,0.0466667,0.0
464,-0.04,0.0233333,0.0
465,0.009901,0.0,0.0
466,0.059802,0.0,0.0
467,0.109703,0.0,0.0
468,0.159604,0.0,0.0
469,0.2095049,0.0,0.0
470,0.2594059,0.0,0.0
471,0.3093069,0.0,0.0
472,0.3592079,0.0,0.0
473,0.4091089,0.0,0.0
474,0.4590099,0.0,0.0
475,0.5089109,0.0,0.0
476,0.5588119,0.0,0.0
477,0.6087129,0.0,0.0
478,0.6586139,0.0,0.0
479,0.7085149,0.0,0.0
480,0.7584158,0.0,0.0
481,0.8083168,0.0,0.0
482,0.8582178,0.0,0.0
483,0.9081188,0.0,0.0
484,0.9580198,0.0,0.0
485,1.0079207,0.0,0.0
486,1.0578218,0.0,0.0
487,1.1077228,0.0,0.0
488,1.1576238,0.0,0.0
489,1.2075248,0.0,0.0
490,1.2574258,0.0,0.0
491,1.3073267,0.0,0.0
492,1.3572277,0.0,0.0
493,1.4071287,0.0,0.0
494,1.4570297,0.0,0.0
495,1.5069307,0.0,0.0
496,1.5568317,0.0,0.0
497,1.6067327,0.0,0.0
